fährt ab	fuhr ab	ist abgefahren	abfahren	-
lernt	lernte	hat gelernt	lernen	-
liest	las	hat gelesen	lesen	-
liefert	lieferte	hat geliefert	liefern	-
liegt	lag	hat gelegen	liegen	-
löst	löste 	hat gelöst	lösen	-
lügt	log	hat gelogen	lügen	-
macht	machte	hat gemacht	machen	-
meint	meinte	hat gemeint	meinen	-
merkt	merkte	hat gemerkt	merken (sich)	-
mietet	mietete	hat gemietet	mieten	-
bringt mit	brachte mit	hat mitgebracht	mitbringen	-
kommt mit	kam mit	ist mitgekommen	mitkommen	-
machte mit	machte mit	hat mitgemacht	mitmachen	-
nimmt mit	nahm mit	hat mitgenommen	mitnehmen	-
nimmt	nahm	hat genommen	nehmen	-
öffnet	öffnete	hat geöffnet	öffnen	-
parkt	parkte	hat geparkt	parken 	-
passt	passte	hat gepasst	passen	-
probiert	probierte	hat probiert	probieren 	-
putzt	putzte	hat geputzt	putzen	-
raucht	rauchte	hat geraucht	rauchen	-
regnet	regnete	hat geregnet	regnen	-
reist	reiste	ist gereist	reisen	-
renoviert	renovierte	hat renoviert	renovieren	-
repariert	reparierte	hat repariert	reparieren	-
reserviert	reservierte	hat reserviert	reservieren	-
riecht	roch	hat gerochen	riechen	-
sagt	sagte	hat gesagt	sagen	-
sammelt	sammelte	hat gesammelt	sammeln	-
scheint 	schien	hat geschienen	scheinen	-
schenkt	schenkte	hat geschenkt	schenken	-
schickt	schickte	hat geschickt	schicken	-
schläft	schlief	hat geschlafen	schlafen	-
schließt	schloss	hat geschlossen	schließen	-
schmeckt	schmeckte	hat geschmeckt	schmecken	-
schneidet	schnitt	hat geschnitten	schneiden (sich)	-
schneit	schneite	hat geschneit	schneien	-
schreibt	schrieb	hat geschrieben	schreiben	-
schwimmt	schwamm	ist geschwommen	schwimmen	-
sieht	sah	hat gesehen	sehen	-
singt	sang	hat gesungen	singen	-
sitzt	saß	hat/ist gesessen	sitzen	-
geht spazieren	ging spazieren	ist spazieren gegangen	spazieren gehen	-
speichert	speicherte	hat gespeichert	speichern	-
spielt	spielte	hat gespielt	spielen	-
spricht	sprach	hat gesprochen	sprechen	-
spült	spülte	hat gespült	spülen	-
findet statt	fand statt	hat stattgefunden	stattfinden	-
steckt	steckte	hat gesteckt	stecken	-
steht	stand	ist gestanden	stehen	-
bleibt stehen	blieb stehen	ist stehen geblieben	stehen bleiben	-
stellt	stellte	hat gestellt	stellen	-
stirbt	starb	ist gestorben	sterben	-
stimmt	stimmte	hat gestimmt	stimmen	-
stört	störte	hat gestört	stören	-
streitet	stritt	hat gestritten	streiten (sich)	-
studiert	studierte	hat studiert	studieren	-
sucht	suchte	hat gesucht	suchen	-
tankt	tankte	hat getankt	tanken	-
tanzt	tanzte	hat getanzt	tanzen	-
tauscht	tauschte	hat getauscht	tauschen	-
nimmt teil	nahm teil	hat teilgenommen	teilnehmen	-
telefoniert	telefonierte	hat telefoniert	telefonieren	-
trägt	trug	hat getragen	tragen	-
trifft	traf	hat getroffen	treffen (sich)	-
trinkt	trank	hat getrunken	trinken	-
tut	tat	hat getan	tun	-
übernachtet	übernachtete	hat übernachtet	übernachten	-
übersetzt	übersetzte	hat übersetzt	übersetzen	-
überweist	überwies	hat überwiesen	überweisen	-
steigt um	stieg um	ist umgestiegen	umsteigen	-
